Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2021†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2021†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2021†","Shiga toxin-producing Escherichia coli(STEC), Cum 2021†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2021†","Shigellosis, Cum 2021†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
HAWAII,2021,16,,-,0,,,-,,-,,-,1,,1,,2,,,-,2,,9,,15,,HAWAII,,20211660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,16,,-,0,,,-,,-,7,,37,,225,,379,,4,,29,,164,,609,,,SOUTH ATLANTIC,20211628,
PENNSYLVANIA,2021,16,,-,0,,,-,,-,1,,14,,60,,65,,1,,9,,27,,79,,PENNSYLVANIA,,20211613,POINT (-77.838886 40.896694)
UTAH,2021,16,,-,0,,,-,,-,,-,8,,27,,58,,,-,3,,11,,17,,UTAH,,20211655,POINT (-111.678222 39.323779)
COLORADO,2021,16,,-,3,,,-,,-,7,,14,,65,,62,,4,,17,,37,,54,,COLORADO,,20211650,POINT (-105.547832 38.998552)
US TERRITORIES,2021,18,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20211863,
PACIFIC,2021,12,,-,1,,,-,,-,6,,47,,115,,422,,11,,58,,310,,532,,,PACIFIC,20211257,
VERMONT,2021,16,,-,0,,,-,,-,,-,4,,2,,13,,,-,1,,1,,6,,VERMONT,,20211608,POINT (-72.662695 44.075252)
KENTUCKY,2021,16,,-,0,,,-,,-,,-,6,,9,,34,,,-,3,,5,,21,,KENTUCKY,,20211640,POINT (-85.290484 37.526683)
PUERTO RICO,2021,16,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20211667,POINT (-66.414655 18.215692)
TOTAL,2021,12,,-,4,,,-,,-,30,,244,,763,,1960,,52,,170,,906,,3349,,,TOTAL,20211270,
US RESIDENTS,2021,12,,-,4,,,-,,-,30,,244,,763,,1960,,52,,170,,906,,3346,,,US RESIDENTS,20211201,
NEW HAMPSHIRE,2021,12,,-,0,,,-,,-,,-,2,,1,,4,,,-,2,,,-,,-,NEW HAMPSHIRE,,20211206,POINT (-71.57139 43.680429)
NEW YORK,2021,12,,-,0,,,-,,-,7,,21,,61,,67,,5,,6,,21,,57,,NEW YORK,,20211211,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2021,12,,-,0,,,-,,-,9,,39,,64,,143,,5,,59,,73,,901,,,WEST SOUTH CENTRAL,20211243,
NEBRASKA,2021,12,,-,0,,,-,,-,,-,10,,12,,23,,,-,4,,7,,10,,NEBRASKA,,20211225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,12,,-,0,,,-,,-,,-,19,,36,,83,,,-,22,,16,,345,,,EAST SOUTH CENTRAL,20211238,
NORTH DAKOTA,2021,12,,-,1,,,-,,-,,-,5,,1,,5,,,-,2,,,-,6,,NORTH DAKOTA,,20211226,POINT (-100.46931 47.446305)
NEVADA,2021,12,,-,0,,,-,,-,,-,2,,2,,10,,,-,3,,6,,21,,NEVADA,,20211253,POINT (-114.916992 39.283294)
ILLINOIS,2021,12,,-,0,,,-,,-,,-,14,,25,,98,,,-,10,,23,,96,,ILLINOIS,,20211215,POINT (-89.148632 40.124144)
IOWA,2021,12,,-,0,,,-,,-,,-,23,,23,,41,,1,,4,,17,,31,,IOWA,,20211221,POINT (-93.500061 42.074659)
TEXAS,2021,12,,-,0,,,-,,-,8,,32,,33,,98,,4,,43,,49,,725,,TEXAS,,20211247,POINT (-99.317341 31.447238)
ALASKA,2021,12,,-,0,,,-,,-,,-,1,,2,,2,,,-,1,,,-,,-,ALASKA,,20211258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,12,,-,0,,,-,,-,,-,1,,,-,3,,,-,2,,,-,13,,DISTRICT OF COLUMBIA,,20211230,POINT (-77.016275 38.904785)
WASHINGTON,2021,12,,-,0,,,-,,-,,-,2,,1,,54,,5,,15,,91,,51,,WASHINGTON,,20211262,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,12,,-,2,,,-,,-,,-,11,,21,,68,,3,,9,,37,,96,,,NEW ENGLAND,20211202,
RHODE ISLAND,2021,12,,-,0,,,-,,-,,-,3,,2,,8,,,-,3,,2,,15,,RHODE ISLAND,,20211207,POINT (-71.534637 41.572574)
OREGON,2021,12,,-,1,,,-,,-,1,,11,,18,,45,,,-,23,,28,,34,,OREGON,,20211261,POINT (-120.605279 43.940449)
DELAWARE,2021,12,,-,0,,,-,,-,,-,3,,3,,3,,,-,1,,2,,3,,DELAWARE,,20211229,POINT (-75.452394 38.994926)
ALABAMA,2021,12,,-,0,,,-,,-,,-,8,,7,,17,,,-,17,,9,,257,,ALABAMA,,20211239,POINT (-86.844516 32.756889)
KANSAS,2021,12,,-,0,,,-,,-,,-,8,,14,,29,,1,,4,,7,,5,,KANSAS,,20211222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,12,,-,0,,,-,,-,,-,6,,2,,50,,,-,4,,7,,83,,NORTH CAROLINA,,20211234,POINT (-79.130883 35.52603)
GUAM,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,GUAM,,20211266,POINT (144.653198 13.3532)
NEW JERSEY,2021,12,,-,0,,,-,,-,,-,5,,2,,5,,,-,3,,2,,53,,NEW JERSEY,,20211210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,12,,-,0,,,-,,-,,-,3,,,-,5,,,-,5,,,-,21,,NEW MEXICO,,20211254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,12,,-,0,,,-,,-,2,,50,,97,,300,,1,,21,,77,,260,,,EAST NORTH CENTRAL,20211214,
TENNESSEE,2021,12,,-,0,,,-,,-,,-,14,,27,,37,,,-,7,,3,,51,,TENNESSEE,,20211242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,12,,-,0,,,-,,-,,-,5,,3,,13,,1,,3,,9,,24,,CONNECTICUT,,20211203,POINT (-72.738288 41.575155)
MARYLAND,2021,12,,-,0,,,-,,-,,-,5,,,-,32,,,-,4,,,-,46,,MARYLAND,,20211233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,12,,-,0,,,-,,-,,-,5,,5,,15,,,-,4,,3,,16,,SOUTH CAROLINA,,20211235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,12,,-,0,,,-,,-,1,,8,,10,,22,,1,,11,,4,,76,,OKLAHOMA,,20211246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211265,POINT (145.725693 15.1834)
OHIO,2021,12,,-,0,,,-,,-,,-,21,,34,,71,,,-,10,,33,,67,,OHIO,,20211218,POINT (-82.70936 40.415534)
MINNESOTA,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20211223,POINT (-94.198308 46.349153)
LOUISIANA,2021,12,,-,0,,,-,,-,,-,7,,3,,17,,,-,6,,18,,88,,LOUISIANA,,20211245,POINT (-91.840238 30.921314)
HAWAII,2021,12,,-,0,,,-,,-,,-,1,,,-,2,,,-,3,,3,,9,,HAWAII,,20211260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,12,,-,0,,,-,,-,1,,34,,131,,335,,8,,28,,125,,516,,,SOUTH ATLANTIC,20211228,
PENNSYLVANIA,2021,12,,-,0,,,-,,-,,-,14,,38,,58,,1,,9,,21,,78,,PENNSYLVANIA,,20211213,POINT (-77.838886 40.896694)
UTAH,2021,12,,-,0,,,-,,-,1,,8,,20,,58,,1,,3,,9,,16,,UTAH,,20211255,POINT (-111.678222 39.323779)
COLORADO,2021,12,,-,3,,,-,,-,2,,14,,40,,59,,2,,17,,24,,51,,COLORADO,,20211250,POINT (-105.547832 38.998552)
VERMONT,2021,12,,-,0,,,-,,-,,-,4,,2,,11,,,-,1,,1,,6,,VERMONT,,20211208,POINT (-72.662695 44.075252)
KENTUCKY,2021,12,,-,0,,,-,,-,,-,3,,2,,22,,,-,2,,4,,17,,KENTUCKY,,20211240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,12,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20211267,POINT (-66.414655 18.215692)
MAINE,2021,12,,-,0,,,-,,-,,-,1,,2,,1,,,-,2,,3,,2,,MAINE,,20211204,POINT (-69.06137 45.117911)
VIRGINIA,2021,12,,-,0,,,-,,-,1,,9,,39,,44,,3,,6,,24,,43,,VIRGINIA,,20211236,POINT (-78.666382 37.510861)
ARIZONA,2021,12,,-,0,,,-,,-,1,,7,,21,,44,,5,,11,,34,,84,,ARIZONA,,20211249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211264,
WISCONSIN,2021,12,,-,0,,,-,,-,2,,13,,32,,68,,1,,4,,14,,26,,WISCONSIN,,20211219,POINT (-89.732969 44.639954)
IDAHO,2021,12,,-,0,,,-,,-,,-,9,,,-,22,,,-,1,,,-,7,,IDAHO,,20211251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20211268,POINT (-64.840836 18.060868)
MICHIGAN,2021,12,,-,0,,,-,,-,,-,9,,1,,34,,,-,4,,4,,52,,MICHIGAN,,20211217,POINT (-85.730977 44.874798)
GEORGIA,2021,12,,-,0,,,-,,-,,-,11,,28,,39,,,-,10,,,-,115,,GEORGIA,,20211232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,12,,-,0,,,-,,-,1,,22,,44,,112,,8,,18,,114,,223,,,NEW YORK CITY,20211212,
ARKANSAS,2021,12,,-,0,,,-,,-,,-,7,,18,,6,,,-,5,,2,,12,,ARKANSAS,,20211244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,12,,-,0,,,-,,-,,-,1,,,-,7,,,-,2,,,-,20,,MISSISSIPPI,,20211241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,12,,-,0,,,-,,-,,-,2,,4,,3,,,-,1,,2,,3,,SOUTH DAKOTA,,20211227,POINT (-100.230491 44.43614)
WYOMING,2021,12,,-,0,,,-,,-,,-,6,,6,,5,,,-,1,,,-,,-,WYOMING,,20211256,POINT (-107.55145 42.999627)
MISSOURI,2021,12,,-,1,,,-,,-,,-,11,,2,,48,,,-,3,,4,,22,,MISSOURI,,20211224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,12,,-,0,,,-,,-,8,,48,,145,,242,,14,,24,,158,,411,,,MIDDLE ATLANTIC,20211209,
CALIFORNIA,2021,12,,-,0,,,-,,-,5,,38,,94,,319,,6,,45,,188,,438,,CALIFORNIA,,20211259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,12,,-,0,,,-,,-,,-,4,,1,,13,,,-,1,,,-,2,,WEST VIRGINIA,,20211237,POINT (-80.613729 38.642579)
FLORIDA,2021,12,,-,0,,,-,,-,,-,24,,53,,136,,5,,16,,89,,195,,FLORIDA,,20211231,POINT (-82.420978 28.260731)
MONTANA,2021,12,,-,0,,,-,,-,,-,5,,9,,15,,,-,2,,,-,8,,MONTANA,,20211252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,12,,-,1,,,-,,-,,-,44,,56,,149,,2,,8,,37,,77,,,WEST NORTH CENTRAL,20211220,
MASSACHUSETTS,2021,12,,-,2,,,-,,-,,-,4,,11,,31,,2,,6,,22,,49,,MASSACHUSETTS,,20211205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,12,,-,3,,,-,,-,4,,34,,98,,218,,8,,23,,73,,208,,,MOUNTAIN,20211248,
INDIANA,2021,12,,-,0,,,-,,-,,-,8,,5,,29,,,-,2,,3,,19,,INDIANA,,20211216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,3,,,NON-US RESIDENTS,20211269,
US TERRITORIES,2021,12,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20211263,
TOTAL,2021,22,,-,4,,,-,,-,62,,254,,2409,,2958,,50,,176,,2098,,4577,,,TOTAL,20212270,
MAINE,2021,16,,-,0,,,-,,-,,-,1,,3,,2,,1,,2,,4,,2,,MAINE,,20211604,POINT (-69.06137 45.117911)
VIRGINIA,2021,16,,-,0,,,-,,-,1,,9,,52,,50,,2,,6,,30,,50,,VIRGINIA,,20211636,POINT (-78.666382 37.510861)
ARIZONA,2021,16,,-,0,,,-,,-,2,,7,,35,,51,,6,,11,,50,,107,,ARIZONA,,20211649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211664,
WISCONSIN,2021,16,,-,0,,,-,,-,2,,13,,52,,78,,1,,4,,23,,31,,WISCONSIN,,20211619,POINT (-89.732969 44.639954)
IDAHO,2021,16,,-,0,,,-,,-,,-,9,,,-,31,,,-,0,,,-,8,,IDAHO,,20211651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20211668,POINT (-64.840836 18.060868)
MICHIGAN,2021,16,,-,0,,,-,,-,,-,9,,1,,38,,,-,4,,4,,58,,MICHIGAN,,20211617,POINT (-85.730977 44.874798)
GEORGIA,2021,16,,-,0,,,-,,-,1,,10,,40,,45,,,-,9,,,-,138,,GEORGIA,,20211632,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,16,,-,0,,,-,,-,,-,22,,58,,119,,12,,18,,149,,236,,,NEW YORK CITY,20211612,
MOUNTAIN,2021,13,,-,3,,,-,,-,2,,35,,108,,226,,7,,23,,89,,222,,,MOUNTAIN,20211348,
US RESIDENTS,2021,19,,-,4,,,-,,-,77,,255,,1832,,2546,,48,,175,,1729,,4239,,,US RESIDENTS,20211901,
US RESIDENTS,2021,24,,-,4,,,-,,-,81,,257,,2857,,3370,,60,,176,,2481,,4794,,,US RESIDENTS,20212401,
TOTAL,2021,27,,-,4,,,-,,-,107,,256,,3708,,4049,,68,,176,,2984,,5126,,,TOTAL,20212770,
ARKANSAS,2021,16,,-,0,,,-,,-,2,,7,,22,,10,,,-,5,,3,,16,,ARKANSAS,,20211644,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,16,,-,0,,,-,,-,,-,1,,,-,7,,,-,2,,,-,21,,MISSISSIPPI,,20211641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,16,,-,0,,,-,,-,,-,4,,12,,3,,,-,2,,5,,3,,SOUTH DAKOTA,,20211627,POINT (-100.230491 44.43614)
WYOMING,2021,16,,-,0,,,-,,-,,-,6,,10,,8,,,-,1,,,-,,-,WYOMING,,20211656,POINT (-107.55145 42.999627)
MISSOURI,2021,16,,-,1,,,-,,-,,-,11,,2,,62,,,-,3,,4,,25,,MISSOURI,,20211624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,16,,-,0,,,-,,-,13,,48,,220,,273,,15,,27,,239,,465,,,MIDDLE ATLANTIC,20211609,
CALIFORNIA,2021,16,,-,0,,,-,,-,11,,38,,161,,367,,19,,45,,327,,486,,CALIFORNIA,,20211659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,16,,-,0,,,-,,-,,-,4,,1,,16,,,-,2,,,-,4,,WEST VIRGINIA,,20211637,POINT (-80.613729 38.642579)
FLORIDA,2021,16,,-,0,,,-,,-,2,,24,,96,,156,,1,,16,,109,,235,,FLORIDA,,20211631,POINT (-82.420978 28.260731)
MONTANA,2021,16,,-,0,,,-,,-,,-,5,,10,,20,,,-,2,,,-,8,,MONTANA,,20211652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,16,,-,1,,,-,,-,8,,44,,122,,201,,,-,8,,47,,85,,,WEST NORTH CENTRAL,20211620,
MASSACHUSETTS,2021,16,,-,2,,,-,,-,1,,4,,19,,32,,,-,6,,33,,53,,MASSACHUSETTS,,20211605,POINT (-71.481104 42.151077)
INDIANA,2021,16,,-,0,,,-,,-,,-,8,,8,,30,,,-,2,,4,,22,,INDIANA,,20211616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,3,,,NON-US RESIDENTS,20211669,
US TERRITORIES,2021,16,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20211663,
US RESIDENTS,2021,22,,-,4,,,-,,-,62,,254,,2407,,2957,,50,,176,,2093,,4571,,,US RESIDENTS,20212201,
NEW HAMPSHIRE,2021,22,,-,0,,,-,,-,,-,2,,7,,9,,,-,2,,1,,,-,NEW HAMPSHIRE,,20212206,POINT (-71.57139 43.680429)
NEW YORK,2021,22,,-,0,,,-,,-,9,,21,,162,,94,,5,,6,,54,,75,,NEW YORK,,20212211,POINT (-75.59655 42.921241)
PACIFIC,2021,22,,-,1,,,-,,-,13,,47,,361,,598,,16,,67,,720,,868,,,PACIFIC,20212257,
WEST SOUTH CENTRAL,2021,22,,-,0,,,-,,-,11,,60,,248,,249,,3,,33,,193,,1197,,,WEST SOUTH CENTRAL,20212243,
NEBRASKA,2021,22,,-,0,,,-,,-,1,,10,,55,,43,,1,,4,,15,,16,,NEBRASKA,,20212225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,22,,-,0,,,-,,-,1,,21,,128,,140,,,-,10,,40,,418,,,EAST SOUTH CENTRAL,20212238,
NORTH DAKOTA,2021,22,,-,1,,,-,,-,,-,5,,11,,10,,,-,2,,1,,7,,NORTH DAKOTA,,20212226,POINT (-100.46931 47.446305)
NEVADA,2021,22,,-,0,,,-,,-,,-,5,,14,,17,,,-,4,,26,,32,,NEVADA,,20212253,POINT (-114.916992 39.283294)
ILLINOIS,2021,22,,-,0,,,-,,-,,-,14,,76,,138,,,-,10,,62,,122,,ILLINOIS,,20212215,POINT (-89.148632 40.124144)
IOWA,2021,22,,-,0,,,-,,-,,-,23,,106,,88,,1,,4,,27,,35,,IOWA,,20212221,POINT (-93.500061 42.074659)
TEXAS,2021,22,,-,0,,,-,,-,10,,53,,184,,163,,2,,32,,146,,959,,TEXAS,,20212247,POINT (-99.317341 31.447238)
ALASKA,2021,22,,-,0,,,-,,-,,-,1,,5,,5,,,-,1,,2,,1,,ALASKA,,20212258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,22,,-,0,,,-,,-,,-,2,,,-,3,,,-,3,,,-,20,,DISTRICT OF COLUMBIA,,20212230,POINT (-77.016275 38.904785)
WASHINGTON,2021,22,,-,0,,,-,,-,,-,2,,1,,54,,,-,15,,131,,73,,WASHINGTON,,20212262,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,22,,-,2,,,-,,-,1,,11,,70,,97,,4,,10,,87,,112,,,NEW ENGLAND,20212202,
RHODE ISLAND,2021,22,,-,0,,,-,,-,,-,3,,8,,13,,1,,3,,11,,17,,RHODE ISLAND,,20212207,POINT (-71.534637 41.572574)
OREGON,2021,22,,-,1,,,-,,-,4,,11,,66,,62,,2,,23,,50,,48,,OREGON,,20212261,POINT (-120.605279 43.940449)
DELAWARE,2021,22,,-,0,,,-,,-,,-,3,,4,,5,,,-,1,,4,,4,,DELAWARE,,20212229,POINT (-75.452394 38.994926)
ALABAMA,2021,22,,-,0,,,-,,-,1,,8,,34,,23,,,-,5,,25,,299,,ALABAMA,,20212239,POINT (-86.844516 32.756889)
TOTAL,2021,14,,-,4,,,-,,-,50,,247,,995,,2136,,38,,164,,1079,,3677,,,TOTAL,20211470,
NEW HAMPSHIRE,2021,14,,-,0,,,-,,-,,-,2,,4,,5,,,-,2,,,-,,-,NEW HAMPSHIRE,,20211406,POINT (-71.57139 43.680429)
NEW YORK,2021,14,,-,0,,,-,,-,10,,21,,80,,77,,4,,6,,30,,62,,NEW YORK,,20211411,POINT (-75.59655 42.921241)
PACIFIC,2021,14,,-,1,,,-,,-,7,,47,,155,,458,,9,,62,,377,,615,,,PACIFIC,20211457,
WEST SOUTH CENTRAL,2021,14,,-,0,,,-,,-,9,,39,,83,,158,,15,,36,,95,,989,,,WEST SOUTH CENTRAL,20211443,
NEBRASKA,2021,14,,-,0,,,-,,-,,-,10,,19,,27,,1,,4,,10,,12,,NEBRASKA,,20211425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,14,,-,0,,,-,,-,2,,22,,46,,100,,1,,10,,22,,380,,,EAST SOUTH CENTRAL,20211438,
KANSAS,2021,22,,-,0,,,-,,-,,-,7,,38,,57,,1,,3,,14,,8,,KANSAS,,20212222,POINT (-98.38018 38.484729)
NORTH DAKOTA,2021,14,,-,1,,,-,,-,,-,5,,3,,5,,,-,2,,,-,6,,NORTH DAKOTA,,20211426,POINT (-100.46931 47.446305)
NEVADA,2021,14,,-,0,,,-,,-,,-,5,,8,,12,,,-,3,,16,,22,,NEVADA,,20211453,POINT (-114.916992 39.283294)
ILLINOIS,2021,14,,-,0,,,-,,-,,-,14,,25,,108,,,-,10,,27,,100,,ILLINOIS,,20211415,POINT (-89.148632 40.124144)
IOWA,2021,14,,-,0,,,-,,-,2,,23,,40,,51,,,-,4,,20,,32,,IOWA,,20211421,POINT (-93.500061 42.074659)
TEXAS,2021,14,,-,0,,,-,,-,6,,32,,48,,108,,12,,29,,66,,793,,TEXAS,,20211447,POINT (-99.317341 31.447238)
ALASKA,2021,14,,-,0,,,-,,-,,-,1,,3,,3,,,-,1,,2,,,-,ALASKA,,20211458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,14,,-,0,,,-,,-,,-,1,,,-,3,,,-,2,,,-,15,,DISTRICT OF COLUMBIA,,20211430,POINT (-77.016275 38.904785)
WASHINGTON,2021,14,,-,0,,,-,,-,,-,2,,1,,54,,5,,15,,104,,54,,WASHINGTON,,20211462,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,14,,-,2,,,-,,-,1,,11,,29,,72,,4,,9,,44,,103,,,NEW ENGLAND,20211402,
RHODE ISLAND,2021,14,,-,0,,,-,,-,,-,3,,2,,9,,,-,3,,4,,17,,RHODE ISLAND,,20211407,POINT (-71.534637 41.572574)
OREGON,2021,14,,-,1,,,-,,-,3,,11,,26,,46,,,-,23,,33,,38,,OREGON,,20211461,POINT (-120.605279 43.940449)
DELAWARE,2021,14,,-,0,,,-,,-,,-,3,,3,,3,,,-,1,,2,,4,,DELAWARE,,20211429,POINT (-75.452394 38.994926)
ALABAMA,2021,14,,-,0,,,-,,-,1,,8,,10,,17,,1,,5,,14,,279,,ALABAMA,,20211439,POINT (-86.844516 32.756889)
KANSAS,2021,14,,-,0,,,-,,-,1,,8,,15,,33,,,-,4,,7,,5,,KANSAS,,20211422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,14,,-,0,,,-,,-,,-,6,,2,,53,,,-,4,,7,,87,,NORTH CAROLINA,,20211434,POINT (-79.130883 35.52603)
GUAM,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,GUAM,,20211466,POINT (144.653198 13.3532)
NEW JERSEY,2021,14,,-,0,,,-,,-,,-,5,,2,,5,,,-,3,,2,,56,,NEW JERSEY,,20211410,POINT (-74.655514 40.110253)
NEW MEXICO,2021,14,,-,0,,,-,,-,,-,3,,,-,6,,,-,5,,,-,24,,NEW MEXICO,,20211454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,14,,-,0,,,-,,-,3,,50,,120,,321,,2,,21,,93,,274,,,EAST NORTH CENTRAL,20211414,
TENNESSEE,2021,14,,-,0,,,-,,-,1,,14,,30,,44,,,-,7,,3,,59,,TENNESSEE,,20211442,POINT (-86.343226 35.842998)
CONNECTICUT,2021,14,,-,0,,,-,,-,,-,5,,3,,15,,,-,3,,9,,26,,CONNECTICUT,,20211403,POINT (-72.738288 41.575155)
MARYLAND,2021,14,,-,0,,,-,,-,,-,6,,3,,33,,,-,4,,3,,46,,MARYLAND,,20211433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,14,,-,0,,,-,,-,,-,5,,5,,16,,,-,4,,3,,17,,SOUTH CAROLINA,,20211435,POINT (-80.864614 33.878572)
OKLAHOMA,2021,14,,-,0,,,-,,-,2,,8,,13,,26,,3,,11,,7,,87,,OKLAHOMA,,20211446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211465,POINT (145.725693 15.1834)
OHIO,2021,14,,-,0,,,-,,-,,-,21,,45,,76,,,-,10,,41,,68,,OHIO,,20211418,POINT (-82.70936 40.415534)
MINNESOTA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20211423,POINT (-94.198308 46.349153)
LOUISIANA,2021,14,,-,0,,,-,,-,,-,7,,4,,18,,,-,6,,19,,93,,LOUISIANA,,20211445,POINT (-91.840238 30.921314)
HAWAII,2021,14,,-,0,,,-,,-,,-,1,,1,,2,,,-,2,,7,,14,,HAWAII,,20211460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,14,,-,0,,,-,,-,6,,34,,171,,361,,,-,27,,137,,569,,,SOUTH ATLANTIC,20211428,
PENNSYLVANIA,2021,14,,-,0,,,-,,-,2,,14,,50,,61,,1,,9,,24,,78,,PENNSYLVANIA,,20211413,POINT (-77.838886 40.896694)
UTAH,2021,14,,-,0,,,-,,-,2,,8,,24,,58,,,-,3,,11,,17,,UTAH,,20211455,POINT (-111.678222 39.323779)
COLORADO,2021,14,,-,3,,,-,,-,3,,14,,49,,58,,,-,17,,29,,53,,COLORADO,,20211450,POINT (-105.547832 38.998552)
VERMONT,2021,14,,-,0,,,-,,-,,-,4,,2,,11,,,-,1,,1,,6,,VERMONT,,20211408,POINT (-72.662695 44.075252)
KENTUCKY,2021,14,,-,0,,,-,,-,,-,6,,6,,32,,,-,3,,5,,21,,KENTUCKY,,20211440,POINT (-85.290484 37.526683)
PUERTO RICO,2021,14,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20211467,POINT (-66.414655 18.215692)
MAINE,2021,14,,-,0,,,-,,-,1,,1,,3,,1,,,-,2,,3,,2,,MAINE,,20211404,POINT (-69.06137 45.117911)
