Survey Years,Sex,Age Group,Race and Hispanic Origin,Infectious Disease,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Notea
2003-2004,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 2 (HSV-2),14.6,1.0,12.5,16.9,,,
2003-2004,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 2 (HSV-2),46.8,2.9,40.3,53.4,,,
2003-2004,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 2 (HSV-2),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2003-2004,All,20-49,Hispanic,Herpes Simplex Virus Type 2 (HSV-2),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2003-2004,All,20-49,Mexican American,Herpes Simplex Virus Type 2 (HSV-2),12.3,1.4,9.4,15.7,,,
2003-2004,All,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),10.1,1.0,8.0,12.5,,,
2003-2004,All,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),19.0,1.8,15.4,23.1,,,
2003-2004,All,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),26.4,1.8,22.5,30.6,,,
2003-2004,Female,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),25.0,1.1,22.6,27.6,,,
2003-2004,Female,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),16.4,1.6,13.0,20.2,,,
2003-2004,Female,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),24.8,2.5,19.7,30.6,,,
2003-2004,Female,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),32.2,2.6,26.8,37.9,,,
2003-2004,Male,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),12.7,1.1,10.4,15.4,,,
2003-2004,Male,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),4.1,0.9,2.3,6.6,,,
2003-2004,Male,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),13.4,1.9,9.6,18.0,,,
2003-2004,Male,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),20.0,2.7,14.5,26.6,,,
2005-2006,All,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),19.5,1.5,16.4,22.9,,,
2005-2006,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 2 (HSV-2),14.9,1.4,12.0,18.2,,,
